AvgSpotLen	BioSample	Experiment	Instrument	MBases	MBytes	Run	SRA_Sample	Sample_Name	resident_tissue	source_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_type
100	SAMN09233343	SRX4108636	Illumina HiSeq 2500	14138	7479	SRR7191948	SRS3324288	GSM3148585	blood	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233342	SRX4108637	Illumina HiSeq 2500	13484	5283	SRR7191949	SRS3324287	GSM3148586	blood	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233342	SRX4108637	Illumina HiSeq 2500	13484	5308	SRR7191950	SRS3324287	GSM3148586	blood	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233342	SRX4108637	Illumina HiSeq 2500	9092	3661	SRR7191951	SRS3324287	GSM3148586	blood	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233341	SRX4108638	Illumina HiSeq 2500	5688	2153	SRR7191952	SRS3324286	GSM3148587	breast	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233341	SRX4108638	Illumina HiSeq 2500	7543	3022	SRR7191953	SRS3324286	GSM3148587	breast	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233340	SRX4108639	Illumina HiSeq 2500	4944	1854	SRR7191954	SRS3324289	GSM3148588	breast	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233340	SRX4108639	Illumina HiSeq 2500	9324	3695	SRR7191955	SRS3324289	GSM3148588	breast	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233339	SRX4108640	Illumina HiSeq 2500	1925	703	SRR7191956	SRS3324290	GSM3148589	breast	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
202	SAMN09233339	SRX4108640	Illumina HiSeq 2500	12733	4990	SRR7191957	SRS3324290	GSM3148589	breast	BC01	RNA-Seq	PRJNA472383	GEO	public	sra	ncbi	0	PAIRED	cDNA	TRANSCRIPTOMIC	2018-05-21	Homo sapiens	ILLUMINA	2018-06-28	SRP148597	CD45+ leukocytes
