EGA python client version 3.0.21

Authentication success for user 'mail@gregor-sturm.de'
File ID         Status Bytes        Check sum                            File name
EGAF00001609205      1 111244283    21d3b1ef50a18547274be503e3ebb6eb     EGAR00001549077/SCS/P0322/Sample_PD10_ZZM_TTC74-0322.1.clean.fq.gz.cip
EGAF00001618738      1 320228594    849ea2bfcd7ac7dd2944e8503eee951a     EGAR00001552456/SCS/P1116/PD10_ZZM_TTC86-1116.2.clean.fq.gz.cip
EGAF00001608534      1 141025101    1c5b8dd4a91f6cfa9ea14819905719f7     EGAR00001550969/SCS/P0508/Sample_PD10_ZZM_PTC2-52-0508.2.clean.fq.gz.cip
EGAF00001603538      1 323396014    16948ad127c793b61ca743b22161b974     EGAR00001549439/SCS/P0407/PD10_ZZM_NTC40-0407.2.clean.fq.gz.cip
EGAF00001607923      1 115326774    12255eec8e64fc7739aa56a1abf26ca0     EGAR00001548919/SCS/P0322/Sample_PD10_ZZM_PTR84-0322.1.clean.fq.gz.cip
EGAF00001609294      1 90711102     7b0e514956027a9e024ef02c63ff9c1e     EGAR00001550622/SCS/P0508/Sample_PD10_ZZM_JTS-47-0508.2.clean.fq.gz.cip
EGAF00001607168      1 296174148    43e243f1ba0a8ee935bae947edfb1539     EGAR00001549636/SCS/P0407/PD10_ZZM_NTR48-0407.2.clean.fq.gz.cip
EGAF00001608125      1 147279870    b69d3be755bffe0183b207d7a5fa59d8     EGAR00001550738/SCS/P0508/Sample_PD10_ZZM_NTC2-52-0508.1.clean.fq.gz.cip
EGAF00001607079      1 88104042     79354f95576872dcde4dedc24c0709d1     EGAR00001550849/SCS/P0508/Sample_PD10_ZZM_NTH25-0508.1.clean.fq.gz.cip
EGAF00001603572      1 308591095    065daa764daf7e02d5a5d2410a5d48af     EGAR00001549640/SCS/P0407/PD10_ZZM_NTR51-0407.2.clean.fq.gz.cip
EGAF00001618773      1 196160916    6fa96959b909d43d28df5953a162b1b4     EGAR00001552699/SCS/P1116/PD10_ZZM_TTR99-1116.1.clean.fq.gz.cip
EGAF00001617578      1 374220548    76311ec218f1e50095458398c495aee0     EGAR00001552429/SCS/P1116/PD10_ZZM_TTC61-1116.2.clean.fq.gz.cip
EGAF00001602924      1 107980615    e8248a8a0091de79ede05d56b25ccb28     EGAR00001548394/SCS/P0322/Sample_PD10_ZZM_NTC117-0322.2.clean.fq.gz.cip
EGAF00001601986      1 137127171    ea1a02a532ece04ea6980392eade74ab     EGAR00001548180/SCS/P0205/Sample_PD10_ZZM_TTC81-0205.2.clean.fq.gz.cip
EGAF00001601971      1 141001089    dbaf88413c83d5a5dc9998485b6181a5     EGAR00001548173/SCS/P0205/Sample_PD10_ZZM_TTC72-0205.1.clean.fq.gz.cip
EGAF00001603457      1 119838528    4d5a177c0ccafe5541b06efd1a31de93     EGAR00001549214/SCS/P0322/Sample_PD10_ZZM_TTH70-0322.1.clean.fq.gz.cip
EGAF00001607942      1 131094603    acfb3deb362bb6f10d93b6ed905de6a1     EGAR00001548928/SCS/P0322/Sample_PD10_ZZM_PTR92-0322.2.clean.fq.gz.cip
EGAF00001605243      1 94969642     6887048992e03dc8644767fc105006b6     EGAR00001548857/SCS/P0322/Sample_PD10_ZZM_PTR26-0322.1.clean.fq.gz.cip
EGAF00001601857      1 74635240     9007a6110227ebe49b036ae7527b5c90     EGAR00001548106/SCS/P0205/Sample_PD10_ZZM_TTC122-0205.1.clean.fq.gz.cip
EGAF00001610382      1 391969862    508f8167d8a19ee3421e8b60ccf544a6     EGAR00001551973/SCS/P1116/PD10_ZZM_NTR10-1116.2.clean.fq.gz.cip
EGAF00001602230      1 73447188     44a7b6855f6f57148db685f265851626     EGAR00001547804/SCS/P0205/Sample_PD10_ZZM_PTC151-0205.2.clean.fq.gz.cip
EGAF00001606586      1 135888322    3f6bf2976f38ebec3f933af4caf46df9     EGAR00001551760/SCS/P0508/Sample_PD10_ZZM_TTS1-73-0508.2.clean.fq.gz.cip
EGAF00001606371      1 282874338    2f5241a69e91159aedd9571beb46e6d3     EGAR00001549828/SCS/P0407/PD10_ZZM_PTH40-0407.1.clean.fq.gz.cip
EGAF00001603300      1 149428135    8a7ee689a11300fcb47d249a3ca6c595     EGAR00001547963/SCS/P0205/Sample_PD10_ZZM_PTH99-0205.2.clean.fq.gz.cip
EGAF00001602475      1 159718138    1259a63e10eb56278243ba9b1b504b0b     EGAR00001547845/SCS/P0205/Sample_PD10_ZZM_PTC63-0205.1.clean.fq.gz.cip
EGAF00001604918      1 683647281    4678916fed5636c3079c8c5329f05e37     EGAR00001550030/SCS/P0407/PD10_ZZM_TTC17-0407.2.clean.fq.gz.cip
EGAF00001604902      1 233575475    c97771bf3676bed3915c11582dfec4d5     EGAR00001549917/SCS/P0407/PD10_ZZM_PTR30-0407.2.clean.fq.gz.cip
EGAF00001609947      1 114957786    4b85c43f14890a3c4dff4e398034fdc0     EGAR00001551694/SCS/P0508/Sample_PD10_ZZM_TTR187-0508.1.clean.fq.gz.cip
EGAF00001603602      1 264062185    5c33ee92611447c9fcf8e662fa2486e2     EGAR00001549760/SCS/P0407/PD10_ZZM_PTC70-0407.2.clean.fq.gz.cip
EGAF00001602201      1 104709440    2d194fe6b93d4702b77a76dd8cd10c2e     EGAR00001548303/SCS/P0205/Sample_PD10_ZZM_TTS24-0205.1.clean.fq.gz.cip
EGAF00001602745      1 100795916    394edcbd934d5ef9a3e6ba68c2f2d642     EGAR00001547896/SCS/P0205/Sample_PD10_ZZM_PTH20-0205.1.clean.fq.gz.cip
EGAF00001604395      1 107329120    e7e147240bad0a921f8b352e806b4816     EGAR00001550489/SCS/P0508/Sample_PD10_ZZM_JTC-89-0508.1.clean.fq.gz.cip
EGAF00001603031      1 82399960     82bae979029f7327b7461442a7eba66f     EGAR00001548156/SCS/P0205/Sample_PD10_ZZM_TTC49-0205.1.clean.fq.gz.cip
EGAF00001608495      1 143085741    654c7509e30301242605a6d1b99ffeee     EGAR00001550611/SCS/P0508/Sample_PD10_ZZM_JTS-36-0508.1.clean.fq.gz.cip
EGAF00001607638      1 205656743    cd8d3a82e387673bb021e249414fab9c     EGAR00001550248/SCS/P0407/PD10_ZZM_TTH82-0407.2.clean.fq.gz.cip
EGAF00001601957      1 186642779    44805db30aa84fa0b7332c59dfdb2310     EGAR00001547998/SCS/P0205/Sample_PD10_ZZM_PTS133-0205.1.clean.fq.gz.cip
EGAF00001610517      1 82548434     13253abf433113a814111421979a2384     EGAR00001551494/SCS/P0508/Sample_PD10_ZZM_TTH138-0508.1.clean.fq.gz.cip
