phase	entrez
G1.S	10347
G1.S	65057
G1.S	97
G1.S	9510
G1.S	90956
G1.S	112
G1.S	55608
G1.S	10717
G1.S	27301
G1.S	55082
G1.S	29028
G1.S	10458
G1.S	580
G1.S	29117
G1.S	23473
G1.S	835
G1.S	9994
G1.S	898
G1.S	9134
G1.S	993
G1.S	990
G1.S	83879
G1.S	55536
G1.S	23552
G1.S	9702
G1.S	10036
G1.S	8208
G1.S	63967
G1.S	58487
G1.S	1509
G1.S	440081
G1.S	22894
G1.S	4189
G1.S	5611
G1.S	29980
G1.S	79075
G1.S	51514
G1.S	1869
G1.S	1870
G1.S	83939
G1.S	2098
G1.S	374393
G1.S	116224
G1.S	2189
G1.S	84961
G1.S	80308
G1.S	441441
G1.S	51659
G1.S	64785
G1.S	51053
G1.S	3070
G1.S	84072
G1.S	3214
G1.S	3265
G1.S	3298
G1.S	26353
G1.S	3643
G1.S	55656
G1.S	10625
G1.S	25959
G1.S	3749
G1.S	57189
G1.S	57691
G1.S	114823
G1.S	4012
G1.S	400879
G1.S	51747
G1.S	5608
G1.S	154141
G1.S	4171
G1.S	4173
G1.S	4174
G1.S	4175
G1.S	56890
G1.S	51003
G1.S	4335
G1.S	3110
G1.S	84245
G1.S	4436
G1.S	7593
G1.S	4678
G1.S	283131
G1.S	4820
G1.S	4863
G1.S	260294
G1.S	348995
G1.S	4998
G1.S	114880
G1.S	80025
G1.S	23178
G1.S	5099
G1.S	5111
G1.S	359806
G1.S	57026
G1.S	55344
G1.S	5378
G1.S	5411
G1.S	10714
G1.S	51715
G1.S	9401
G1.S	116028
G1.S	7737
G1.S	55599
G1.S	861
G1.S	6382
G1.S	7095
G1.S	6317
G1.S	6502
G1.S	7884
G1.S	9481
G1.S	55186
G1.S	283596
G1.S	169981
G1.S	139886
G1.S	6432
G1.S	6747
G1.S	8148
G1.S	54962
G1.S	11073
G1.S	29896
G1.S	11277
G1.S	80263
G1.S	151613
G1.S	55148
G1.S	29128
G1.S	7374
G1.S	54532
G1.S	6944
G1.S	79968
G1.S	197335
G1.S	116225
G1.S	7700
G1.S	195828
G1.S	84330
G1.S	285346
G1.S	9406
